"Id", "Operation", "TimeStamp"
"0","Initialized authors from csv file. - SUCCESS","2021-04-27 18:22:52.380"
"1","Initialized publishers from csv file. - SUCCESS","2021-04-27 18:22:52.396"
"2","Initialized sections from csv file. - SUCCESS","2021-04-27 18:22:52.401"
"3","Initialized librarians from csv file. - SUCCESS","2021-04-27 18:22:52.424"
"4","Initialized books from csv file. - SUCCESS","2021-04-27 18:22:52.445"
"5","Initialized library subscribers from csv file. - SUCCESS","2021-04-27 18:22:52.453"
"6","Initialized book readers from csv file. - SUCCESS","2021-04-27 18:22:52.459"
"7","Initialized transactions from csv file. - SUCCESS","2021-04-27 18:22:52.467"
"0","Initialized authors from csv file. - SUCCESS","2021-04-27 19:52:37.387"
"1","Initialized publishers from csv file. - SUCCESS","2021-04-27 19:52:37.399"
"2","Initialized sections from csv file. - SUCCESS","2021-04-27 19:52:37.403"
"3","Initialized librarians from csv file. - SUCCESS","2021-04-27 19:52:37.416"
"4","Initialized books from csv file. - SUCCESS","2021-04-27 19:52:37.421"
"5","Initialized library subscribers from csv file. - SUCCESS","2021-04-27 19:52:37.428"
"6","Initialized book readers from csv file. - SUCCESS","2021-04-27 19:52:37.432"
"7","Initialized transactions from csv file. - SUCCESS","2021-04-27 19:52:37.435"
"0","Initialized authors from csv file. - SUCCESS","2021-04-27 23:10:01.521"
"1","Initialized publishers from csv file. - SUCCESS","2021-04-27 23:10:01.533"
"2","Initialized sections from csv file. - SUCCESS","2021-04-27 23:10:01.536"
"3","Initialized librarians from csv file. - SUCCESS","2021-04-27 23:10:01.546"
"4","Initialized books from csv file. - SUCCESS","2021-04-27 23:10:01.549"
"5","Initialized library subscribers from csv file. - SUCCESS","2021-04-27 23:10:01.554"
"6","Initialized book readers from csv file. - SUCCESS","2021-04-27 23:10:01.557"
"7","Initialized transactions from csv file. - SUCCESS","2021-04-27 23:10:01.560"
"8","New transaction added in csv file. - SUCCESS","2021-04-27 23:10:01.573"
"9","New section added in csv file. - SUCCESS","2021-04-27 23:10:01.575"
"10","New publisher added in csv file. - SUCCESS","2021-04-27 23:10:01.578"
"0","Initialized authors from csv file. - SUCCESS","2021-04-27 23:15:00.367"
"1","Initialized publishers from csv file. - SUCCESS","2021-04-27 23:15:00.380"
"2","Initialized sections from csv file. - SUCCESS","2021-04-27 23:15:00.382"
"3","Initialized librarians from csv file. - SUCCESS","2021-04-27 23:15:00.384"
"4","Initialized books from csv file. - SUCCESS","2021-04-27 23:15:00.386"
"5","Initialized library subscribers from csv file. - SUCCESS","2021-04-27 23:15:00.389"
"6","Initialized book readers from csv file. - SUCCESS","2021-04-27 23:15:00.392"
"7","Initialized transactions from csv file. - SUCCESS","2021-04-27 23:15:00.394"
"8","New transaction added in csv file. - SUCCESS","2021-04-27 23:15:00.409"
"9","New section added in csv file. - SUCCESS","2021-04-27 23:15:00.410"
"10","New publisher added in csv file. - SUCCESS","2021-04-27 23:15:00.412"
"0","Initialized authors from csv file. - SUCCESS","2021-04-27 23:16:16.205"
"1","Initialized publishers from csv file. - SUCCESS","2021-04-27 23:16:16.215"
"2","Initialized sections from csv file. - SUCCESS","2021-04-27 23:16:16.217"
"3","Initialized librarians from csv file. - SUCCESS","2021-04-27 23:16:16.219"
"4","Initialized books from csv file. - SUCCESS","2021-04-27 23:16:16.222"
"5","Initialized library subscribers from csv file. - SUCCESS","2021-04-27 23:16:16.224"
"6","Initialized book readers from csv file. - SUCCESS","2021-04-27 23:16:16.226"
"7","Initialized transactions from csv file. - SUCCESS","2021-04-27 23:16:16.228"
"8","publisher removed from csv file. - SUCCESS","2021-04-27 23:16:16.243"
"0","Initialized authors from csv file. - SUCCESS","2021-04-27 23:17:17.565"
"1","Initialized publishers from csv file. - SUCCESS","2021-04-27 23:17:17.573"
"2","Initialized sections from csv file. - SUCCESS","2021-04-27 23:17:17.575"
"3","Initialized librarians from csv file. - SUCCESS","2021-04-27 23:17:17.582"
"4","Initialized books from csv file. - SUCCESS","2021-04-27 23:17:17.585"
"5","Initialized library subscribers from csv file. - SUCCESS","2021-04-27 23:17:17.588"
"6","Initialized book readers from csv file. - SUCCESS","2021-04-27 23:17:17.590"
"7","Initialized transactions from csv file. - SUCCESS","2021-04-27 23:17:17.593"
"8","Section updated in csv file. - SUCCESS","2021-04-27 23:17:17.608"
